id,report_model_id:id,name,identifier,applied_by_default,forced,requires_report_to_be_reloaded
asset_dynamic_report_department_id,model_account_asset_dynamic_report,Department,asset_department_id,False,False,False
asset_dynamic_report_category_id,model_account_asset_dynamic_report,Category,category_id,False,False,False
general_ledger_dynamic_report_account_id,model_general_ledger_dynamic_report,Account,account_id,True,False,False
invoice_registry_dynamic_report_tax_code,model_invoice_registry_dynamic_report,Tax code,tax_code,False,False,True
invoice_registry_dynamic_report_tax_account,model_invoice_registry_dynamic_report,Tax account,tax_account,False,False,True
invoice_registry_dynamic_report_invoice_state,model_invoice_registry_dynamic_report,Invoice state,report_invoice_state,True,False,False
cashflow_dynamic_report_invoice_view_account,model_account_cashflow_report,Account,view_account,True,False,False
debt_act_dynamic_report_partner,model_debt_act_wizard,Partner,partner_id,True,False,False
