id,kodas,name
darbo_kodas_98, 112030,Verslo paslaugų įmonės vadovas
darbo_kodas_99, 112031,Buitinių paslaugų įmonės vadovas
darbo_kodas_100, 112032,Atliekų tvarkymo įmonės vadovas
darbo_kodas_101, 112033,Aukštosios mokyklos vadovas
darbo_kodas_102, 112034,Aukštosios mokyklos kancleris
darbo_kodas_103, 112035,Kultūros įstaigos vadovas
darbo_kodas_104, 112036,Švietimo įstaigos vadovas
darbo_kodas_105, 112037,Sveikatos priežiūros įstaigos vadovas
darbo_kodas_106, 112038,Socialinio darbo įstaigos vadovas
darbo_kodas_107, 112039,Poilsio įstaigos vadovas
darbo_kodas_108, 112040,Sporto įstaigos vadovas
darbo_kodas_109, 112041,Kelionių agentūros vadovas
darbo_kodas_110, 112042,Įmonės valdybos pirmininkas
darbo_kodas_111, 112043,Organizacijos vadovas
darbo_kodas_112, 112044,Apygardos [apylinkės] teismo pirmininkas
darbo_kodas_113, 112045,Apygardos [apylinkės] vyriausiasis prokuroras
darbo_kodas_114, 112046,Apygardos teismo kancleris
darbo_kodas_115, 112047,Apygardos prokuratūros kancleris
darbo_kodas_116, 112048,Įmonės vadovas
darbo_kodas_117, 112049,Agentūros vadovas
darbo_kodas_118, 112050,Mokslinių tyrimų instituto vadovas
darbo_kodas_119, 112051,Koncertinės įstaigos vadovas
darbo_kodas_120, 112052,Laboratorijos vadovas
darbo_kodas_121, 112053,Muziejaus vadovas
darbo_kodas_122, 112054,Mokslinis sekretorius (dirbantis aukštojoje mokykloje ar mokslinio tyrimo institute)
darbo_kodas_123, 112055,Archyvo vadovas
darbo_kodas_124, 112056,Bankrutuojančios įmonės administratorius
darbo_kodas_125, 112057,Restruktūrizuojamos įmonės administratorius
darbo_kodas_126, 112058,Įmonės likvidatorius
darbo_kodas_127, 12,Administravimo ir komercijos vadovai
darbo_kodas_128, 121,Verslo paslaugų srities ir administracijos vadovai
darbo_kodas_129, 1211,Finansų srities vadovai
darbo_kodas_130, 121101,Ekonomikos ir finansų direktorius
darbo_kodas_131, 121102,Vyriausiasis buhalteris
darbo_kodas_132, 121103,Apskaitos padalinio vadovas
darbo_kodas_133, 121104,Biudžeto padalinio vadovas
darbo_kodas_134, 121105,Finansų padalinio vadovas
darbo_kodas_135, 121106,Ekonomikos padalinio vadovas
darbo_kodas_136, 121107,Vyriausiasis finansininkas
darbo_kodas_137, 121108,Ekonomikos ir finansų padalinio vadovas
darbo_kodas_138, 121109,Mažosios verslo paslaugų įmonės vadovas {apskaitos ir panašios paslaugos}
darbo_kodas_139, 121110,Finansų direktorius
darbo_kodas_140, 121111,Vyriausiasis ekonomistas
darbo_kodas_141, 121112,"Mažosios verslo paslaugų įmonės vadovas {nekilnojamojo turto operacijos, nuoma ir išperkamoji nuoma}"
darbo_kodas_142, 1212,Žmogiškųjų išteklių srities vadovai
darbo_kodas_143, 121201,Personalo direktorius
darbo_kodas_144, 121202,"Darbo santykių (darbo organizavimo, darbo užmokesčio ir pan.) padalinio vadovas"
darbo_kodas_145, 121203,Personalo padalinio vadovas
darbo_kodas_146, 121204,Mažosios verslo paslaugų įmonės vadovas {žmogiškųjų išteklių ir įdarbinimo paslaugos}
darbo_kodas_147, 1213,Politikos ir planavimo srities vadovai
darbo_kodas_148, 121301,"Viešojo administravimo įstaigos padalinio vadovas (įstaigos prie ministerijos padalinio, teritorinio padalinio, jo struktūrinio padalinio vadovas)"
darbo_kodas_149, 121302,Strateginio planavimo padalinio vadovas
darbo_kodas_150, 121303,Bendrojo planavimo padalinio vadovas
darbo_kodas_151, 1219,Kitur nepriskirti verslo paslaugų srities ir administracijos vadovai
darbo_kodas_152, 121901,"Siuvimo [fotografijos, mezgimo ir kt.] ateljė direktorius"
darbo_kodas_153, 121902,Pirties direktorius
darbo_kodas_154, 121903,Kirpyklos direktorius
darbo_kodas_155, 121904,Ritualinių paslaugų įmonės direktorius
darbo_kodas_156, 121905,Verslo paslaugų padalinio vadovas {išskyrus finansines ir draudimo paslaugas}
darbo_kodas_157, 121906,Buitinių paslaugų padalinio vadovas
darbo_kodas_158, 121907,Valymo paslaugų padalinio vadovas
darbo_kodas_159, 121908,Asmens priežiūros paslaugų padalinio vadovas
darbo_kodas_160, 121909,Kapinių vedėjas
darbo_kodas_161, 121910,Darbų saugos padalinio vadovas
darbo_kodas_162, 121911,Valdymo padalinio vadovas
darbo_kodas_163, 121912,"Padalinio [sekcijos, biuro, poskyrio] vadovas"
darbo_kodas_164, 121913,"Raštinės [kanceliarijos, sekretoriato] vadovas"
darbo_kodas_165, 121914,Darbų vadovas
darbo_kodas_166, 121915,"Mažosios verslo paslaugų įmonės vadovas {valymo, pastatų funkcionavimo užtikrinimo, administracinės veiklos paslaugos}"
darbo_kodas_167, 121916,Mažosios buitinių paslaugų įmonės vadovas
darbo_kodas_168, 121917,Mažosios valymo ir tvarkymo paslaugų įmonės vadovas
darbo_kodas_169, 121918,"Bendrijos pirmininkas [valdytojas] (dirbantis daugiabučių namų savininkų, garažų, sodininkų ar pan. bendrijoje)"
darbo_kodas_170, 121919,"Mažosios verslo paslaugų įmonės vadovas {architektūros ir inžinerijos veikla, techninis tikrinimas ir analizė}"
darbo_kodas_171, 122,"Pardavimo, rinkodaros ir plėtros vadovai"
darbo_kodas_172, 1221,Pardavimo ir rinkodaros vadovai
darbo_kodas_173, 122101,Komercijos direktorius
darbo_kodas_174, 122102,Rinkotyros padalinio vadovas
darbo_kodas_175, 122103,Pardavimo [realizavimo] padalinio vadovas
darbo_kodas_176, 122104,Prekybos padalinio vadovas
darbo_kodas_177, 122105,Rinkodaros padalinio vadovas
darbo_kodas_178, 122106,Komercijos padalinio vadovas
darbo_kodas_179, 122107,Mažosios verslo paslaugų įmonės vadovas {rinkotyros ir rinkodaros paslaugos}
darbo_kodas_180, 1222,Reklamos ir viešųjų ryšių srities vadovai
darbo_kodas_181, 122201,Reklamos padalinio vadovas
darbo_kodas_182, 122202,Viešųjų ryšių padalinio vadovas
darbo_kodas_183, 122203,Mažosios verslo paslaugų įmonės vadovas {reklamos ir ryšių su visuomene paslaugos}
darbo_kodas_184, 122204,"Mažosios verslo paslaugų įmonės vadovas {pagrindinių buveinių veikla, konsultacinė valdymo veikla}"
darbo_kodas_185, 1223,Mokslinių tyrimų ir plėtros vadovai
darbo_kodas_186, 122301,Technikos direktorius
darbo_kodas_187, 122302,Techninis vadovas
darbo_kodas_188, 122303,Vyriausiasis konstruktorius
darbo_kodas_189, 122304,Mokslinių tyrimų ir plėtros padalinio vadovas
darbo_kodas_190, 122305,Mažosios verslo paslaugų įmonės vadovas {mokslinių tyrimų ir plėtros paslaugos}
darbo_kodas_191, 13,Gamybos ir specializuotų paslaugų srities vadovai
darbo_kodas_192, 131,"Žemės, miškų ir žuvininkystės ūkio produkcijos gamybos vadovai"
darbo_kodas_193, 1311,Žemės ir miškų ūkio produkcijos gamybos vadovai
darbo_kodas_194, 131101,Žemės ūkio padalinio vadovas
darbo_kodas_195, 131102,Medienos ruošos padalinio vadovas
darbo_kodas_196, 131103,Sėklų stoties vadovas
darbo_kodas_197, 131104,Vyriausiasis agronomas
darbo_kodas_198, 131105,Vyriausiasis zootechnikas
darbo_kodas_199, 131106,"Vyriausiasis inžinierius {žemės, miškų, medžioklės ūkis}"
darbo_kodas_200, 131107,Miškų ūkio padalinio vadovas
darbo_kodas_201, 131108,Medžioklės padalinio vadovas
darbo_kodas_202, 131109,Girininkas
darbo_kodas_203, 131110,Vyriausiasis veterinarijos gydytojas
darbo_kodas_204, 131111,Medelyno [daigyno] vadovas
darbo_kodas_205, 131112,Veterinarijos gydyklos vadovas
darbo_kodas_206, 131113,Veterinarijos klinikos vadovas
darbo_kodas_207, 131114,Veterinarijos laboratorijos vadovas
darbo_kodas_208, 131115,Pasienio veterinarijos posto vadovas
darbo_kodas_209, 1312,Akvakultūros ir žuvininkystės ūkio produkcijos gamybos vadovai
darbo_kodas_210, 131201,Vyriausiasis žuvininkas
darbo_kodas_211, 131202,Žuvininkystės ūkio padalinio vadovas
darbo_kodas_212, 131203,Žuvivaisos laboratorijos vadovas
darbo_kodas_213, 132,"Gamybos, gavybos, statybos ir platinimo vadovai"
darbo_kodas_214, 1321,Gamybos vadovai
darbo_kodas_215, 132101,Eksploatacijos direktorius
darbo_kodas_216, 132102,Gamybos vadovas
darbo_kodas_217, 132103,Elektros stoties viršininkas
darbo_kodas_218, 132104,Cecho [baro] viršininkas
darbo_kodas_219, 132105,Gamybos padalinio vadovas
darbo_kodas_220, 132106,Dirbtuvių viršininkas [vedėjas]
darbo_kodas_221, 132107,Vyriausiasis technologas
darbo_kodas_222, 132108,Vyriausiasis mechanikas
darbo_kodas_223, 132109,Vyriausiasis inžinierius
darbo_kodas_224, 132110,Vyriausiasis energetikas
darbo_kodas_225, 132111,Vyriausiasis radiologas
darbo_kodas_226, 132112,Vyriausiasis metrologas
darbo_kodas_227, 132113,Vyriausiasis hidrotechnikas
darbo_kodas_228, 132114,Vyriausiasis cecho [baro] inžinierius
darbo_kodas_229, 132115,"Įmonės [cecho, baro] pamainos viršininkas"
darbo_kodas_230, 132116,Vyriausiasis dailininkas
darbo_kodas_231, 132117,Mažosios gamybos įmonės vadovas
darbo_kodas_232, 1322,Gavybos vadovai
darbo_kodas_233, 132201,Vyriausiasis geologas
darbo_kodas_234, 132202,Mažosios gavybos įmonės vadovas
darbo_kodas_235, 1323,Statybos vadovai
darbo_kodas_236, 132301,Statybos padalinio vadovas
darbo_kodas_237, 132302,Vyriausiasis architektas
darbo_kodas_238, 132303,Kapitalinės statybos padalinio vadovas
darbo_kodas_239, 132304,Techninės priežiūros vadovas
darbo_kodas_240, 132305,Bendrųjų statybos darbų vadovas
darbo_kodas_241, 132306,Specialiųjų statybos darbų vadovas
darbo_kodas_242, 132307,Statybos projekto vadovas
darbo_kodas_243, 132308,Mažosios statybos įmonės vadovas
darbo_kodas_244, 1324,"Tiekimo, platinimo ir panašių paslaugų vadovai"
darbo_kodas_245, 132401,Pašto padalinio vadovas
darbo_kodas_246, 132402,Geležinkelio stoties vadovas
darbo_kodas_247, 132403,Transporto padalinio vadovas
darbo_kodas_248, 132404,Logistikos padalinio vadovas
darbo_kodas_249, 132405,Sandėlio vadovas
darbo_kodas_250, 132406,Krovinių padalinio vadovas
darbo_kodas_251, 132407,Geležinkelio ruožo viršininkas
darbo_kodas_252, 132408,Platinimo padalinio vadovas
darbo_kodas_253, 132409,Tiekimo padalinio vadovas
darbo_kodas_254, 132410,Sandėliavimo padalinio vadovas
darbo_kodas_255, 132411,Mažosios transporto įmonės vadovas
darbo_kodas_256, 132412,Mažosios transporto paslaugų įmonės vadovas
darbo_kodas_257, 132413,Mažosios sandėliavimo įmonės vadovas
darbo_kodas_258, 132414,Traukinio viršininkas
darbo_kodas_259, 132415,Autobusų stoties vadovas
darbo_kodas_260, 133,Informacinių technologijų ir ryšių paslaugų srities vadovai
darbo_kodas_261, 1330,Informacinių technologijų ir ryšių paslaugų srities vadovai
darbo_kodas_262, 133001,Ryšių padalinio vadovas
darbo_kodas_263, 133002,Informacinių technologijų padalinio vadovas
darbo_kodas_264, 133003,Informatikos padalinio vadovas
darbo_kodas_265, 133004,Kompiuterijos padalinio vadovas
darbo_kodas_266, 133005,Mažosios ryšių įmonės vadovas
darbo_kodas_267, 133006,Mažosios ryšių paslaugų įmonės vadovas
darbo_kodas_268, 134,Profesionaliųjų paslaugų srities vadovai
darbo_kodas_269, 1341,Vaikų priežiūros paslaugų srities vadovai
darbo_kodas_270, 134101,"Vaikų lopšelio [lopšelio-darželio, darželio, darželio-mokyklos] direktorius"
darbo_kodas_271, 134102,Vaikų priežiūros dienos centro direktorius
darbo_kodas_272, 134103,"Mažosios švietimo įstaigos vadovas {ikimokyklinis ir priešmokyklinis ugdymas, vaikų dienos priežiūra}"
darbo_kodas_273, 134104,Vaikų globos namų ar pensionato direktorius
darbo_kodas_274, 1342,Sveikatinimo paslaugų srities vadovai
darbo_kodas_275, 134201,Vyriausiasis gydytojas
darbo_kodas_276, 134202,Sveikatos priežiūros padalinio vadovas
darbo_kodas_277, 134203,Medicinos įstaigos administratorius
darbo_kodas_278, 134204,Vyriausiasis slaugytojas
darbo_kodas_279, 134205,Vyriausiasis slaugos administratorius
darbo_kodas_280, 134206,Vyriausiasis akušeris
darbo_kodas_281, 134207,Slaugos direktorius
darbo_kodas_282, 134208,Medicinos direktorius
darbo_kodas_283, 134209,Odontologijos kabineto vadovas
darbo_kodas_284, 134210,Ambulatorijos vadovas
darbo_kodas_285, 134211,Šeimos gydytojo ar bendrosios praktikos gydytojo kabineto vadovas
darbo_kodas_286, 134212,Mažosios sveikatos priežiūros įstaigos vadovas
darbo_kodas_287, 134213,Neįgaliųjų globos namų ar pensionato direktorius
darbo_kodas_288, 1343,Pagyvenusių žmonių slaugos ir socialinių paslaugų srities vadovai
darbo_kodas_289, 134301,Pagyvenusių žmonių slaugos ir socialinių paslaugų įstaigos direktorius
darbo_kodas_290, 134302,Socialinio darbo įstaigos padalinio vadovas {slaugos ir socialinės paslaugos pagyvenusiems žmonėms}
darbo_kodas_291, 134303,Senelių globos namų ar pensionato direktorius
darbo_kodas_292, 134304,Slaugos namų direktorius
darbo_kodas_293, 134305,Mažosios socialinių paslaugų įstaigos vadovas {slaugos ir socialinės paslaugos pagyvenusiems žmonėms}
darbo_kodas_294, 1344,Socialinės paramos vadovai
darbo_kodas_295, 134401,Socialinės paramos padalinio vadovas
darbo_kodas_296, 134402,Bendruomenės centro vadovas
darbo_kodas_297, 134403,Šeimos centro vadovas
darbo_kodas_298, 134404,Mažosios socialinių paslaugų įstaigos vadovas {išskyrus slaugos ir socialines paslaugas pagyvenusiems žmonėms}
darbo_kodas_299, 1345,Švietimo srities vadovai
darbo_kodas_300, 134501,Pagrindinio ar vidurinio ugdymo įstaigos direktorius
darbo_kodas_301, 134502,Profesinio mokymo įstaigos direktorius
darbo_kodas_302, 134503,"Švietimo padalinio [centro, skyriaus] vadovas"
darbo_kodas_303, 134504,Aukštosios mokyklos padalinio vadovas
darbo_kodas_304, 134505,"Mažosios švietimo įstaigos vadovas {išskyrus ikimokyklinį ir priešmokyklinį ugdymą, vaikų dienos priežiūrą}"
darbo_kodas_305, 1346,Finansinių ir draudimo paslaugų padalinių vadovai
darbo_kodas_306, 134601,Verslo paslaugų padalinio vadovas {finansinės ir draudimo paslaugos}
darbo_kodas_307, 134602,Banko padalinio vadovas
darbo_kodas_308, 134603,Kredito unijos padalinio vadovas
darbo_kodas_309, 134604,Draudimo bendrovės padalinio vadovas
darbo_kodas_310, 134605,Kredito unijos administracijos vadovas
darbo_kodas_311, 134606,Mažosios verslo paslaugų įmonės vadovas {finansinės ir draudimo paslaugos}
darbo_kodas_312, 1349,Kitur nepriskirti profesionaliųjų paslaugų srities vadovai
darbo_kodas_313, 134901,Planetariumo direktorius
darbo_kodas_314, 134902,"Kultūrinės veiklos padalinio (muziejaus, meno galerijos, bibliotekos) vadovas"
darbo_kodas_315, 134903,Bibliotekos direktorius [vedėjas]
darbo_kodas_316, 134904,Pamainos viršininkas [vadas]
darbo_kodas_317, 134905,(Techninio) archyvo vedėjas
darbo_kodas_318, 134906,"Padalinio vadovas [viršininkas, vadas]"
darbo_kodas_319, 134907,"Mažosios kultūros įstaigos (muziejaus, meno galerijos, bibliotekos) vadovas"
darbo_kodas_320, 134908,Muziejaus direktorius [vedėjas]
darbo_kodas_321, 134909,Apygardos [apylinkės] teismo padalinio vadovas
darbo_kodas_322, 134910,Apygardos [apylinkės] prokuratūros padalinio vadovas
darbo_kodas_323, 14,"Viešbučių ir restoranų, mažmeninės prekybos ir kitų paslaugų srities vadovai"
darbo_kodas_324, 141,Viešbučių ir restoranų vadovai
darbo_kodas_325, 1411,Viešbučių vadovai
darbo_kodas_326, 141101,Nakvynės namų direktorius
darbo_kodas_327, 141102,Bendrabučio direktorius
darbo_kodas_328, 141103,Viešbučio padalinio vadovas
darbo_kodas_329, 141104,"Mažosios apgyvendinimo įmonės (viešbučio, kempingo, motelio) vadovas"
darbo_kodas_330, 1412,Restoranų vadovai
darbo_kodas_331, 141201,"Maitinimo padalinio (restorano, baro, kavinės, valgyklos) vadovas"
darbo_kodas_332, 141202,Maisto gamybos vedėjas
darbo_kodas_333, 141203,"Mažosios maitinimo įmonės (restorano, baro, kavinės, valgyklos) vadovas"
darbo_kodas_334, 142,Mažmeninės ir didmeninės prekybos vadovai
darbo_kodas_335, 1420,Mažmeninės ir didmeninės prekybos vadovai
darbo_kodas_336, 142001,Parduotuvės padalinio vadovas
