id,kodas,name
darbo_kodas_81, 235,5 - Kiti mokymo specialistai
darbo_kodas_82, 241,1 - Finansų specialistai
darbo_kodas_83, 242,2 - Administravimo specialistai
darbo_kodas_84, 243,"3 - Pardavimo, rinkodaros ir viešųjų ryšių specialistai"
darbo_kodas_85, 251,1 - Programinės įrangos ir taikomųjų programų kūrėjai ir analitikai
darbo_kodas_86, 252,2 - Duomenų bazių ir tinklų specialistai
darbo_kodas_87, 261,1 - Teisės specialistai
darbo_kodas_88, 262,"2 - Bibliotekininkai, archyvų ir muziejų specialistai"
darbo_kodas_89, 263,3 - Socialinės ir religinės sričių specialistai
darbo_kodas_90, 264,"4 - Autoriai, žurnalistai ir kalbininkai"
darbo_kodas_91, 265,5 - Kūrybiniai darbuotojai ir atlikėjai
darbo_kodas_92, 311,1 - Fizinių mokslų ir inžinerijos technikai
darbo_kodas_93, 312,"2 - Gavybos, gamybos ir statybos darbų meistrai ir brigadininkai"
darbo_kodas_94, 313,3 - Technologinių procesų valdymo technikai
darbo_kodas_95, 314,4 - Gyvosios gamtos mokslų technikai ir jaunesnieji giminiškų profesijų specialistai
darbo_kodas_96, 315,5 - Laivų ir orlaivių valdymo vadovai ir technikai
darbo_kodas_97, 321,1 - Medicinos ir farmacijos technikai
darbo_kodas_98, 322,2 - Jaunesnieji slaugos ir akušerijos specialistai
darbo_kodas_99, 323,3 - Jaunesnieji tradicinės ir liaudies medicinos specialistai
darbo_kodas_100, 324,4 - Veterinarijos technikai ir felčeriai
darbo_kodas_101, 325,5 - Kiti jaunesnieji sveikatos specialistai
darbo_kodas_102, 331,1 - Jaunesnieji finansų ir matematikos specialistai
darbo_kodas_103, 332,2 - Pardavimo ir pirkimo agentai ir brokeriai
darbo_kodas_104, 333,3 - Verslo paslaugų agentai
darbo_kodas_105, 334,4 - Administravimo ir specialiųjų sričių sekretoriai
darbo_kodas_106, 335,5 - Jaunesnieji valstybės tarnybų specialistai
darbo_kodas_107, 341,"1 - Jaunesnieji teisės, socialinių ir religijos profesijų specialistai"
darbo_kodas_108, 342,2 - Sporto ir kūno rengybos darbuotojai
darbo_kodas_109, 343,"3 - Jaunesnieji meno, kultūros ir kulinarijos specialistai"
darbo_kodas_110, 351,1 - Informacinių technologijų ir ryšių sistemų eksploatavimo ir pagalbos jų naudotojams technikai
darbo_kodas_111, 352,2 - Telekomunikacijų ir transliavimo technikai
darbo_kodas_112, 411,"1 - Tarnautojai, atliekantys bendras funkcijas"
darbo_kodas_113, 412,"2 - Sekretoriai, atliekantys bendras funkcijas"
darbo_kodas_114, 413,3 - Klavišinių įtaisų operatoriai
darbo_kodas_115, 421,1 - Kasininkai ir giminiškų profesijų tarnautojai
darbo_kodas_116, 422,2 - Klientų informavimo tarnautojai
darbo_kodas_117, 431,"1 - Apskaitos, statistikos ir finansų tarnautojai"
darbo_kodas_118, 432,2 - Materialinių vertybių apskaitos ir transporto tarnautojai
darbo_kodas_119, 441,1 - Kiti tarnautojai
darbo_kodas_120, 511,"1 - Kelionių palydovai, konduktoriai ir kelionių vadovai"
darbo_kodas_121, 512,2 - Virėjai
darbo_kodas_122, 513,3 - Padavėjai ir barmenai
darbo_kodas_123, 514,"4 - Kirpėjai, kosmetikai ir giminiškų profesijų darbuotojai"
darbo_kodas_124, 515,5 - Vyresnieji pastatų ir bendrosios priežiūros darbuotojai
darbo_kodas_125, 516,6 - Kiti paslaugų asmenims darbuotojai
darbo_kodas_126, 521,1 - Gatvės prekystalių ir turgaviečių pardavėjai
darbo_kodas_127, 522,2 - Parduotuvių pardavėjai
darbo_kodas_128, 523,3 - Kasininkai ir bilietų pardavėjai
darbo_kodas_129, 524,4 - Kiti pardavėjai
darbo_kodas_130, 531,1 - Vaikų priežiūros darbuotojai ir mokytojų padėjėjai
darbo_kodas_131, 532,2 - Asmens sveikatos priežiūros darbuotojai
darbo_kodas_132, 541,1 - Apsaugos darbuotojai
darbo_kodas_133, 611,1 - Kultūrinių augalų augintojai
darbo_kodas_134, 612,2 - Gyvūnų augintojai
