id,account_ids/id,excluded_account_ids/id
sl_general_report.pl_report_8,l10n_lt.1_account_419,
sl_general_report.pl_report_9,l10n_lt.1_account_422,
sl_general_report.pl_report_10,l10n_lt.1_account_427,
sl_general_report.pl_report_11,l10n_lt.1_account_486,
sl_general_report.pl_report_12,l10n_lt.1_account_489,
sl_general_report.pl_report_13,"l10n_lt.1_account_409,l10n_lt.1_account_435",l10n_lt.1_account_502
sl_general_report.pl_report_14,l10n_lt.1_account_502,
sl_general_report.pl_report_15,"l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.balansas00,,
sl_general_report.b00_report_1,,
sl_general_report.b00_report_2,l10n_lt.1_account_1,
sl_general_report.b00_report_3,l10n_lt.1_account_24,
sl_general_report.b00_report_4,"l10n_lt.1_account_155,l10n_lt.1_account_87,l10n_lt.1_account_2",
sl_general_report.b00_report_5,l10n_lt.1_account_175,l10n_lt.1_account_301
sl_general_report.b00_report_6,"l10n_lt.1_account_176,l10n_lt.1_account_224",
sl_general_report.b00_report_7,"l10n_lt.1_account_227,l10n_lt.1_account_262,l10n_lt.1_account_295",
sl_general_report.b00_report_8,l10n_lt.1_account_301,
sl_general_report.b00_report_9,"l10n_lt.1_account_1,l10n_lt.1_account_175",
sl_general_report.b00_report_10,,
sl_general_report.b00_report_11,"l10n_lt.1_account_304,l10n_lt.1_account_409,l10n_lt.1_account_435",l10n_lt.account_account_36
sl_general_report.b00_report_12,"l10n_lt.1_account_337,l10n_lt.account_account_36",
sl_general_report.b00_report_13,l10n_lt.1_account_340,
sl_general_report.b00_report_14,"l10n_lt.1_account_344,l10n_lt.1_account_363",
sl_general_report.b00_report_15,l10n_lt.1_account_344,
sl_general_report.b00_report_16,l10n_lt.1_account_363,
sl_general_report.b00_report_17,l10n_lt.1_account_406,
sl_general_report.b00_report_18,"l10n_lt.1_account_304,l10n_lt.1_account_336,l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.pelnas00,,
sl_general_report.pl00_report_1,l10n_lt.1_account_410,
sl_general_report.pl00_report_2,l10n_lt.1_account_409,l10n_lt.1_account_410
sl_general_report.pl00_report_3,l10n_lt.1_account_436,
sl_general_report.pl00_report_4,l10n_lt.1_account_446,"l10n_lt.account_account_48,l10n_lt.account_account_12,l10n_lt.account_account_13"
sl_general_report.pl00_report_5,"l10n_lt.1_account_459,l10n_lt.account_account_48,l10n_lt.account_account_12,l10n_lt.account_account_13","l10n_lt.1_account_461,l10n_lt.1_account_462"
sl_general_report.pl00_report_6,"l10n_lt.1_account_461,l10n_lt.1_account_462",
sl_general_report.pl00_report_7,"l10n_lt.1_account_480,l10n_lt.1_account_445,l10n_lt.1_account_483,l10n_lt.1_account_486,l10n_lt.1_account_489,l10n_lt.1_account_454","l10n_lt.1_account_461,l10n_lt.1_account_462,l10n_lt.1_account_459"
sl_general_report.pl00_report_8,l10n_lt.1_account_502,
sl_general_report.pl00_report_9,"l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.balansas1,,
sl_general_report.b1_report1,,
sl_general_report.b1_report2,l10n_lt.1_account_1,
sl_general_report.b1_report3,l10n_lt.1_account_2,
sl_general_report.b1_report4,l10n_lt.1_account_15,
sl_general_report.b1_report5,l10n_lt.1_account_11,
sl_general_report.b1_report6,"l10n_lt.1_account_19,l10n_lt.1_account_3,l10n_lt.1_account_7,l10n_lt.1_account_23",
sl_general_report.b1_report7,"l10n_lt.1_account_24,l10n_lt.1_account_155",
sl_general_report.b1_report8,l10n_lt.1_account_25,
sl_general_report.b1_report9,l10n_lt.1_account_29,
sl_general_report.b1_report10,l10n_lt.1_account_36,
sl_general_report.b1_report11,l10n_lt.1_account_43,
sl_general_report.b1_report12,l10n_lt.1_account_50,
sl_general_report.b1_report13,l10n_lt.1_account_67,
sl_general_report.b1_report14,"l10n_lt.1_account_73,l10n_lt.1_account_80,l10n_lt.account_account_1,l10n_lt.1_account_57,l10n_lt.1_account_155",
sl_general_report.b1_report15,l10n_lt.1_account_87,
sl_general_report.b1_report16,"l10n_lt.1_account_88,l10n_lt.1_account_95,l10n_lt.1_account_102,l10n_lt.1_account_109,l10n_lt.1_account_112,l10n_lt.1_account_115,l10n_lt.1_account_118,l10n_lt.1_account_137",
sl_general_report.b1_report17,l10n_lt.1_account_148,
sl_general_report.b1_report18,l10n_lt.1_account_175,
sl_general_report.b1_report19,l10n_lt.1_account_176,
sl_general_report.b1_report20,"l10n_lt.1_account_177,l10n_lt.1_account_189,l10n_lt.1_account_194,l10n_lt.1_account_199,l10n_lt.1_account_213,l10n_lt.1_account_216,l10n_lt.1_account_223",
sl_general_report.b1_report21,l10n_lt.1_account_219,
sl_general_report.b1_report22,l10n_lt.1_account_182,
sl_general_report.b1_report23,l10n_lt.1_account_227,
sl_general_report.b1_report24,"l10n_lt.1_account_228,l10n_lt.1_account_238,l10n_lt.1_account_231",
sl_general_report.b1_report25,l10n_lt.1_account_241,
sl_general_report.b1_report26,"l10n_lt.1_account_224,l10n_lt.1_account_262,l10n_lt.1_account_301",
sl_general_report.b1_report27,l10n_lt.1_account_262,l10n_lt.1_account_290
sl_general_report.b1_report28,l10n_lt.1_account_290,
sl_general_report.b1_report29,"l10n_lt.1_account_224,l10n_lt.1_account_301",
sl_general_report.b1_report30,l10n_lt.1_account_295,
sl_general_report.b1_report31,"l10n_lt.1_account_1,l10n_lt.1_account_175",
sl_general_report.b1_report32,,
sl_general_report.b1_report33,"l10n_lt.1_account_304,l10n_lt.1_account_409,l10n_lt.1_account_435",l10n_lt.account_account_36
sl_general_report.b1_report34,l10n_lt.1_account_305,
sl_general_report.b1_report35,"l10n_lt.1_account_319,l10n_lt.1_account_318",
sl_general_report.b1_report36,l10n_lt.1_account_322,
sl_general_report.b1_report37,"l10n_lt.1_account_326,l10n_lt.1_account_409,l10n_lt.1_account_435,l10n_lt.1_account_335",
sl_general_report.b1_report38,"l10n_lt.1_account_327,l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.b1_report39,"l10n_lt.1_account_330,l10n_lt.1_account_335",
sl_general_report.b1_report40,"l10n_lt.1_account_337,l10n_lt.account_account_36",
