id,code,name,active
evrk_B062000,B062000,Gamtinių dujų gavyba,TRUE
evrk_B062000,B062000,Gamtinių dujų gavyba,TRUE
evrk_B070000,B070000,Metalų rūdų kasyba,TRUE
evrk_B071000,B071000,Geležies rūdų kasyba,TRUE
evrk_B071000,B071000,Geležies rūdų kasyba,TRUE
evrk_B072000,B072000,Spalvotųjų metalų rūdų kasyba,TRUE
evrk_B072100,B072100,Urano ir torio rūdų kasyba,TRUE
evrk_B072900,B072900,Kitų spalvotųjų metalų rūdų kasyba,TRUE
evrk_B080000,B080000,Kita kasyba ir karjerų eksploatavimas,TRUE
evrk_B081000,B081000,"Akmens, smėlio ir molio karjerų eksploatavimas",TRUE
evrk_B081100,B081100,"Dekoratyvinio ir statybinio akmens, klinčių, gipso, kreidos ir skalūno karjerų eksploatavimas",TRUE
evrk_B081200,B081200,Smėlio ir žvyro karjerų eksploatavimas; molio ir kaolino kasyba,TRUE
evrk_B089000,B089000,Niekur kitur nepriskirta kasyba ir karjerų eksploatavimas,TRUE
evrk_B089100,B089100,Mineralinių iškasenų chemijos pramonei ir trąšoms gaminti kasyba,TRUE
evrk_B089200,B089200,Durpių gavyba,TRUE
evrk_B089300,B089300,Druskos gavyba,TRUE
evrk_B089900,B089900,"Kita, niekur kitur nepriskirta, kasyba ir karjerų eksploatavimas",TRUE
evrk_B090000,B090000,Kasybai būdingų paslaugų veikla,TRUE
evrk_B091000,B091000,Naftos ir gamtinių dujų gavybai būdingų paslaugų veikla,TRUE
evrk_B091000,B091000,Naftos ir gamtinių dujų gavybai būdingų paslaugų veikla,TRUE
evrk_B091010,B091010,Gamtinių dujų parengimas transportuoti (gabenti),TRUE
evrk_B099000,B099000,Kitai kasybai ir karjerų eksploatavimui būdingų paslaugų veikla,TRUE
evrk_B099000,B099000,Kitai kasybai ir karjerų eksploatavimui būdingų paslaugų veikla,TRUE
evrk_C100000,C100000,Maisto produktų gamyba,TRUE
evrk_C101000,C101000,Mėsos perdirbimas ir konservavimas ir mėsos produktų gamyba,TRUE
evrk_C101100,C101100,Mėsos perdirbimas ir konservavimas,TRUE
evrk_C101200,C101200,Paukštienos perdirbimas ir konservavimas,TRUE
evrk_C101300,C101300,Mėsos ir paukštienos produktų gamyba,TRUE
evrk_C101310,C101310,Rūkytų mėsos ir paukštienos produktų gamyba,TRUE
evrk_C102000,C102000,"Žuvų, vėžiagyvių ir moliuskų perdirbimas ir konservavimas",TRUE
evrk_C102000,C102000,"Žuvų, vėžiagyvių ir moliuskų perdirbimas ir konservavimas",TRUE
evrk_C103000,C103000,Vaisių ir daržovių perdirbimas ir konservavimas,TRUE
evrk_C103100,C103100,Bulvių perdirbimas ir konservavimas,TRUE
evrk_C103110,C103110,Bulvių miltų gamyba,TRUE
evrk_C103200,C103200,"Vaisių, uogų ir daržovių sulčių gamyba",TRUE
evrk_C103900,C103900,Kitas vaisių ir daržovių perdirbimas ir konservavimas,TRUE
evrk_C104000,C104000,Gyvūninių ir augalinių riebalų bei aliejaus gamyba,TRUE
evrk_C104100,C104100,Aliejaus ir riebalų gamyba,TRUE
evrk_C104200,C104200,Margarino ir panašių valgomųjų riebalų gamyba,TRUE
evrk_C105000,C105000,Pieno produktų gamyba,TRUE
evrk_C105100,C105100,Pieninių veikla ir sūrių gamyba,TRUE
evrk_C105200,C105200,Valgomųjų ledų gamyba,TRUE
evrk_C106000,C106000,"Grūdų malimo produktų, krakmolo ir krakmolo produktų gamyba",TRUE
evrk_C106100,C106100,Grūdų malimo produktų gamyba,TRUE
evrk_C106110,C106110,Miltų gamyba,TRUE
evrk_C106120,C106120,Kruopų gamyba,TRUE
evrk_C106200,C106200,Krakmolo ir krakmolo produktų gamyba,TRUE
evrk_C106210,C106210,Gliukozės sirupo ir maltozės gamyba,TRUE
evrk_C106220,C106220,Krakmolo gamyba,TRUE
evrk_C107000,C107000,Kepyklos ir miltinių produktų gamyba,TRUE
evrk_C107100,C107100,Duonos gamyba; šviežių konditerijos kepinių ir pyragaičių gamyba,TRUE
evrk_C107200,C107200,Džiūvėsių ir sausainių gamyba; ilgai išsilaikančių konditerijos kepinių ir pyragaičių gamyba,TRUE
evrk_C107300,C107300,"Makaronų, vermišelių, kuskuso ir panašių miltinių produktų gamyba",TRUE
evrk_C108000,C108000,Kitų maisto produktų gamyba,TRUE
evrk_C108100,C108100,Cukraus gamyba,TRUE
evrk_C108200,C108200,"Kakavos, šokolado ir cukraus saldumynų gamyba",TRUE
evrk_C108300,C108300,Arbatos ir kavos apdorojimas ir perdirbimas,TRUE
evrk_C108400,C108400,Užgardų ir pagardų gamyba,TRUE
evrk_C108410,C108410,Acto gamyba,TRUE
evrk_C108500,C108500,Paruoštų valgių ir patiekalų gamyba,TRUE
evrk_C108600,C108600,Homogenizuotų ir dietinių maisto produktų gamyba,TRUE
evrk_C108900,C108900,"Kitų, niekur kitur nepriskirtų, maisto produktų gamyba",TRUE
evrk_C108910,C108910,Mielių gamyba,TRUE
evrk_C109000,C109000,Paruoštų pašarų gyvuliams gamyba,TRUE
evrk_C109100,C109100,Paruoštų pašarų ūkio gyvuliams gamyba,TRUE
evrk_C109200,C109200,Paruošto ėdalo naminiams gyvūnėliams gamyba,TRUE
evrk_C110000,C110000,Gėrimų gamyba,TRUE
evrk_C110000,C110000,Gėrimų gamyba,TRUE
evrk_C110100,C110100,"Spirito distiliavimas, rektifikavimas ir maišymas",TRUE
evrk_C110200,C110200,Vynuogių vyno gamyba,TRUE
evrk_C110300,C110300,"Sidro ir kitokių vaisių, uogų vynų gamyba",TRUE
evrk_C110400,C110400,Kitų nedistiliuotų fermentuotų gėrimų gamyba,TRUE
evrk_C110500,C110500,Alaus gamyba,TRUE
evrk_C110600,C110600,Salyklo gamyba,TRUE
evrk_C110700,C110700,"Nealkoholinių gėrimų gamyba; mineralinio ir kito, pilstomo į butelius, vandens gamyba",TRUE
evrk_C110710,C110710,Nealkoholinių gėrimų gamyba,TRUE
evrk_C110720,C110720,"Natūralaus mineralinio ir kito, pilstomo į butelius, vandens gamyba",TRUE
evrk_C120000,C120000,Tabako gaminių gamyba,TRUE
evrk_C120000,C120000,Tabako gaminių gamyba,TRUE
evrk_C120000,C120000,Tabako gaminių gamyba,TRUE
evrk_C130000,C130000,Tekstilės gaminių gamyba,TRUE
evrk_C131000,C131000,Tekstilės pluoštų paruošimas ir verpimas,TRUE
evrk_C131000,C131000,Tekstilės pluoštų paruošimas ir verpimas,TRUE
evrk_C132000,C132000,Tekstilės audimas,TRUE
evrk_C132000,C132000,Tekstilės audimas,TRUE
evrk_C132010,C132010,Lininių audinių audimas,TRUE
evrk_C132020,C132020,Sintetinių audinių audimas,TRUE
evrk_C133000,C133000,Tekstilės apdaila,TRUE
evrk_C133000,C133000,Tekstilės apdaila,TRUE
evrk_C139000,C139000,Kitų tekstilės gaminių ir dirbinių gamyba,TRUE
evrk_C139100,C139100,Megztų (trikotažinių) ir nertų medžiagų gamyba,TRUE
evrk_C139200,C139200,"Gatavų tekstilės dirbinių, išskyrus drabužius, gamyba",TRUE
evrk_C139300,C139300,Kilimų ir kilimėlių gamyba,TRUE
evrk_C139400,C139400,"Virvių, lynų, virvelių ir tinklų gamyba",TRUE
evrk_C139500,C139500,"Neaustinių medžiagų ir neaustinių medžiagų gaminių ir dirbinių, išskyrus drabužius, gamyba",TRUE
evrk_C139600,C139600,Kitų techninės ir pramoninės tekstilės gaminių ir dirbinių gamyba,TRUE
evrk_C139900,C139900,"Kitų, niekur kitur nepriskirtų, tekstilės gaminių ir dirbinių gamyba",TRUE
evrk_C140000,C140000,Drabužių siuvimas (gamyba),TRUE
evrk_C141000,C141000,"Drabužių, išskyrus kailinius drabužius, siuvimas (gamyba)",TRUE
evrk_C141100,C141100,Odinių drabužių siuvimas,TRUE
evrk_C141200,C141200,Darbo drabužių siuvimas,TRUE
evrk_C141300,C141300,Kitų viršutinių drabužių siuvimas,TRUE
evrk_C141310,C141310,Vyriškų viršutinių drabužių siuvimas,TRUE
