id,name,code,product_type
gpais_klasifikatorius_60,Metalinė tuščia,CL130:04:2000-01-01,
gpais_klasifikatorius_61,Popierinė ir kartoninė tuščia,CL130:05:2000-01-01,
gpais_klasifikatorius_62,Kita tuščia,CL130:06:2000-01-01,
gpais_klasifikatorius_63,PET tuščia,CL130:07:2000-01-01,
gpais_klasifikatorius_64,Medinė tuščia,CL130:08:2000-01-01,
gpais_klasifikatorius_65,Kombinuota (kita) tuščia,CL130:09:2000-01-01,
gpais_klasifikatorius_66,Stiklinė pirminė,CL130:11:2000-01-01,
gpais_klasifikatorius_67,Plastikinė pirminė,CL130:12:2000-01-01,
gpais_klasifikatorius_68,Kombinuota (popierinė) pirminė,CL130:13:2000-01-01,
gpais_klasifikatorius_69,Metalinė pirminė,CL130:14:2000-01-01,
gpais_klasifikatorius_70,Popierinė ir kartoninė pirminė,CL130:15:2000-01-01,
gpais_klasifikatorius_71,Kita pirminė,CL130:16:2000-01-01,
gpais_klasifikatorius_72,PET pirminė,CL130:17:2000-01-01,
gpais_klasifikatorius_73,Medinė pirminė,CL130:18:2000-01-01,
gpais_klasifikatorius_74,Kombinuota (kita) pirminė,CL130:19:2000-01-01,
gpais_klasifikatorius_75,Stiklinė antrinė (tretinė),CL130:21:2000-01-01,
gpais_klasifikatorius_76,Plastikinė antrinė (tretinė),CL130:22:2000-01-01,
gpais_klasifikatorius_77,Kombinuota (popierinė) antrinė (tretinė),CL130:23:2000-01-01,
gpais_klasifikatorius_78,Metalinė antrinė (tretinė),CL130:24:2000-01-01,
gpais_klasifikatorius_79,Popierinė ir kartoninė antrinė (tretinė),CL130:25:2000-01-01,
gpais_klasifikatorius_80,Kita antrinė (tretinė),CL130:26:2000-01-01,
gpais_klasifikatorius_81,PET antrinė (tretinė),CL130:27:2000-01-01,
gpais_klasifikatorius_82,Medinė antrinė (tretinė),CL130:28:2000-01-01,
gpais_klasifikatorius_83,Kombinuota (kita) antrinė (tretinė),CL130:29:2000-01-01,
gpais_klasifikatorius_84,Stiklinė pirminė / užstatinė daugkartinė ,CL130:31:2000-01-01,
gpais_klasifikatorius_85,Plastikinė pirminė daugkartinė,CL130:32:2000-01-01,
gpais_klasifikatorius_86,Kombinuota (popierinė) pirminė daugkartinė,CL130:33:2000-01-01,
gpais_klasifikatorius_87,Metalinė pirminė daugkartinė,CL130:34:2000-01-01,
gpais_klasifikatorius_88,Popierinė (kartoninė) pirminė daugkartinė,CL130:35:2000-01-01,
gpais_klasifikatorius_89,Kita pirminė daugkartinė,CL130:36:2000-01-01,
gpais_klasifikatorius_90,PET pirminė daugkartinė,CL130:37:2000-01-01,
gpais_klasifikatorius_91,Medinė pirminė daugkartinė,CL130:38:2000-01-01,
gpais_klasifikatorius_92,Kombinuota (kita) pirminė daugkartinė,CL130:39:2000-01-01,
gpais_klasifikatorius_93,Stiklinė antrinė (tretinė) daugkartinė,CL130:41:2000-01-01,
gpais_klasifikatorius_94,Plastikinė antrinė (tretinė) daugkartinė,CL130:42:2000-01-01,
gpais_klasifikatorius_95,Kombinuota (popierinė) antrinė (tretinė) daugkartinė,CL130:43:2000-01-01,
gpais_klasifikatorius_96,Metalinė antrinė (tretinė) daugkartinė,CL130:44:2000-01-01,
gpais_klasifikatorius_97,Popierinė ir kartoninė antrinė (tretinė) daugkartinė,CL130:45:2000-01-01,
gpais_klasifikatorius_98,Kita antrinė (tretinė) daugkartinė,CL130:46:2000-01-01,
gpais_klasifikatorius_99,PET antrinė (tretinė) daugkartinė,CL130:47:2000-01-01,
gpais_klasifikatorius_100,Medinė antrinė (tretinė) daugkartinė,CL130:48:2000-01-01,
gpais_klasifikatorius_101,Kombinuota (kita) antrinė (tretinė) daugkartinė,CL130:49:2000-01-01,
gpais_klasifikatorius_102,Stiklinė užstatinė,CL130:51:2000-01-01,
gpais_klasifikatorius_103,Metalinė užstatinė,CL130:54:2000-01-01,
gpais_klasifikatorius_104,PET užstatinė,CL130:57:2000-01-01,
gpais_klasifikatorius_105,Stiklinė pirminė sunaudota savoms reikmėms,CL130:61:2000-01-01,
gpais_klasifikatorius_106,Plastikinė pirminė sunaudota savoms reikmėms,CL130:62:2000-01-01,
gpais_klasifikatorius_107,Kombinuota (popierinė) pirminė sunaudota savoms reikmėms,CL130:63:2000-01-01,
gpais_klasifikatorius_108,Metalinė pirminė sunaudota savoms reikmėms,CL130:64:2000-01-01,
gpais_klasifikatorius_109,Popierinė (kartoninė) pirminė sunaudota savoms reikmėms,CL130:65:2000-01-01,
gpais_klasifikatorius_110,Kita pirminė sunaudota savoms reikmėms,CL130:66:2000-01-01,
gpais_klasifikatorius_111,PET pirminė sunaudota savoms reikmėms,CL130:67:2000-01-01,
gpais_klasifikatorius_112,Medinė pirminė sunaudota savoms reikmėms,CL130:68:2000-01-01,
gpais_klasifikatorius_113,Kombinuota (kita) pirminė sunaudota savoms reikmėms,CL130:69:2000-01-01,
gpais_klasifikatorius_114,Stiklinė antrinė (tretinė) sunaudota savoms reikmėms,CL130:71:2000-01-01,
gpais_klasifikatorius_115,Plastikinė antrinė (tretinė) sunaudota savoms reikmėms,CL130:72:2000-01-01,
gpais_klasifikatorius_116,Kombinuota (popierinė) antrinė (tretinė) sunaudota savoms reikmėms,CL130:73:2000-01-01,
gpais_klasifikatorius_117,Metalinė antrinė (tretinė) sunaudota savoms reikmėms,CL130:74:2000-01-01,
gpais_klasifikatorius_118,Popierinė (kartoninė) antrinė (tretinė) sunaudota savoms reikmėms,CL130:75:2000-01-01,
gpais_klasifikatorius_119,Kita antrinė (tretinė) sunaudota savoms reikmėms,CL130:76:2000-01-01,
gpais_klasifikatorius_120,PET antrinė (tretinė) sunaudota savoms reikmėms,CL130:77:2000-01-01,
gpais_klasifikatorius_121,Medinė antrinė (tretinė) sunaudota savoms reikmėms,CL130:78:2000-01-01,
gpais_klasifikatorius_122,Kombinuota (kita) antrinė (tretinė) sunaudota savoms reikmėms,CL130:79:2000-01-01,
gpais_klasifikatorius_123,Kombinuota tuščia kita (vyraujanti stiklas),CL130:09-01:2018-01-01,
